source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
lnhpd,"whey protein isolate","whey protein isolate",4,false,"whey protein isolate","Whey Protein Isolate","whey protein isolate"
lnhpd,"valeriana officinalis","valeriana officinalis",4,true,"valeriana officinalis","Valeriana officinalis","valeriana officinalis"
lnhpd,"4 aminobenzoic acid","4 aminobenzoic acid",4,true,"4 aminobenzoic acid","4-Aminobenzoic acid","4 aminobenzoic acid"
lnhpd,"myo inositol","myo inositol",3,false,"myo inositol","Myo-Inositol","myo inositol"
lnhpd,"hamamelis virginiana","hamamelis virginiana",3,true,"hamamelis virginiana","Hamamelis virginiana","hamamelis virginiana"
lnhpd,"natrum muriaticum","natrum muriaticum",3,true,"natrum muriaticum","Natrum muriaticum","natrum muriaticum"
lnhpd,"apis mellifica","apis mellifica",3,true,"apis mellifica","Apis mellifica","apis mellifica"
lnhpd,"phytolacca decandra","phytolacca decandra",3,true,"phytolacca decandra","Phytolacca decandra","phytolacca decandra"
lnhpd,"olea europaea","olea europaea",3,true,"olea europaea","Olea europaea","olea europaea"
lnhpd,"ziziphus jujuba","ziziphus jujuba",3,true,"ziziphus jujuba","Ziziphus jujuba","ziziphus jujuba"
lnhpd,"serenoa repens","serenoa repens",3,true,"serenoa repens","Serenoa repens","serenoa repens"
lnhpd,"2 hydroxy n n n trimethylethanaminium","2 hydroxy n n n trimethylethanaminium",3,false,"2 hydroxy n n n trimethylethanaminium","2-Hydroxy-N,N,N-trimethylethanaminium","2 hydroxy n n n trimethylethanaminium"
lnhpd,"cynara scolymus","cynara scolymus",3,true,"cynara scolymus","Cynara scolymus","cynara scolymus"
lnhpd,"2 amino 2 deoxy beta d glucopyranose","2 amino 2 deoxy beta d glucopyranose",3,false,"2 amino 2 deoxy beta d glucopyranose","2-amino-2-deoxy-beta-D-glucopyranose","2 amino 2 deoxy beta d glucopyranose"
lnhpd,"melissa officinalis","melissa officinalis",3,true,"melissa officinalis","Melissa officinalis","melissa officinalis"
lnhpd,"daucus carota","daucus carota",3,true,"daucus carota","Daucus carota","daucus carota"
lnhpd,"piper nigrum","piper nigrum",3,true,"piper nigrum","Piper nigrum","piper nigrum"
lnhpd,"phellodendron chinense","phellodendron chinense",3,true,"phellodendron chinense","Phellodendron chinense","phellodendron chinense"
lnhpd,"juniperus communis","juniperus communis",3,true,"juniperus communis","Juniperus communis","juniperus communis"
lnhpd,"plantago ovata","plantago ovata",3,true,"plantago ovata","Plantago ovata","plantago ovata"
lnhpd,"bryonia","bryonia",3,false,"bryonia","Bryonia","bryonia"
lnhpd,"paullinia cupana","paullinia cupana",3,true,"paullinia cupana","Paullinia cupana","paullinia cupana"
lnhpd,"nux vomica","nux vomica",3,true,"nux vomica","Nux vomica","nux vomica"
lnhpd,"borago officinalis","borago officinalis",3,true,"borago officinalis","Borago officinalis","borago officinalis"
lnhpd,"ophiopogon japonicus","ophiopogon japonicus",3,true,"ophiopogon japonicus","Ophiopogon japonicus","ophiopogon japonicus"
lnhpd,"poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose","poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose",3,false,"poly 1 3 n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 or 6 sulfonyl d galactose","Poly-(1->3)-N-aceltyl-2-amino-2-deoxy-3-O-beta-D-glucopyranurosyl-4-(or 6-)sulfonyl-D-galactose","poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose"
lnhpd,"ethyl alcohol","ethyl alcohol",3,true,"ethyl alcohol","Ethyl alcohol","ethyl alcohol"
lnhpd,"triacylglycerol lipase","triacylglycerol lipase",3,true,"triacylglycerol lipase","Triacylglycerol lipase","triacylglycerol lipase"
lnhpd,"phosphorus","phosphorus",3,false,"phosphorus","Phosphorus","phosphorus"
lnhpd,"solanum lycopersicum","solanum lycopersicum",3,true,"solanum lycopersicum","Solanum lycopersicum","solanum lycopersicum"
lnhpd,"citrus aurantium","citrus aurantium",3,true,"citrus aurantium","Citrus aurantium","citrus aurantium"
lnhpd,"nickel","nickel",3,false,"nickel","Nickel","nickel"
lnhpd,"hydrolyzed collagen","hydrolyzed collagen",3,true,"hydrolyzed collagen","Hydrolyzed collagen","hydrolyzed collagen"
lnhpd,"sanguinaria canadensis","sanguinaria canadensis",3,true,"sanguinaria canadensis","Sanguinaria canadensis","sanguinaria canadensis"
