source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
lnhpd,"fish oil","fish oil",33,true,"fish oil","Fish oil","fish oil"
lnhpd,"oryctolagus cuniculus","oryctolagus cuniculus",17,true,"oryctolagus cuniculus","Oryctolagus cuniculus","oryctolagus cuniculus"
lnhpd,"vitis vinifera","vitis vinifera",14,true,"vitis vinifera","Vitis vinifera" | "Vitis Vinifera","vitis vinifera"
lnhpd,"glycyrrhiza uralensis","glycyrrhiza uralensis",10,true,"glycyrrhiza uralensis","Glycyrrhiza uralensis","glycyrrhiza uralensis"
lnhpd,"vanadium","vanadium",9,false,"vanadium","Vanadium","vanadium"
lnhpd,"glycyrrhiza glabra","glycyrrhiza glabra",9,true,"glycyrrhiza glabra","Glycyrrhiza glabra","glycyrrhiza glabra"
lnhpd,"arnica montana","arnica montana",8,true,"arnica montana","Arnica montana","arnica montana"
lnhpd,"phosphore","phosphore",8,false,"phosphore","Phosphore","phosphore"
lnhpd,"sus scrofa","sus scrofa",7,true,"sus scrofa","Sus scrofa","sus scrofa"
lnhpd,"salicylic acid","salicylic acid",7,true,"salicylic acid","Salicylic acid","salicylic acid"
lnhpd,"sodium fluoride","sodium fluoride",7,true,"sodium fluoride","Sodium fluoride","sodium fluoride"
lnhpd,"3 pyridinecarboxamide","3 pyridinecarboxamide",7,false,"3 pyridinecarboxamide","3-Pyridinecarboxamide","3 pyridinecarboxamide"
lnhpd,"silicea","silicea",6,false,"silicea","Silicea","silicea"
lnhpd,"phosphorus","phosphorus",6,false,"phosphorus","Phosphorus","phosphorus"
lnhpd,"dioscorea villosa","dioscorea villosa",6,true,"dioscorea villosa","Dioscorea villosa","dioscorea villosa"
lnhpd,"mentha x piperita","mentha x piperita",6,true,"mentha x piperita","Mentha x piperita","mentha x piperita"
lnhpd,"medicago sativa","medicago sativa",5,true,"medicago sativa","Medicago sativa","medicago sativa"
lnhpd,"1 carboxy n n n trimethylmethanaminium chloride","1 carboxy n n n trimethylmethanaminium chloride",5,false,"1 carboxy n n n trimethylmethanaminium chloride","1-Carboxy-N,N,N-trimethylmethanaminium chloride","1 carboxy n n n trimethylmethanaminium chloride"
lnhpd,"ethyl alcohol","ethyl alcohol",5,true,"ethyl alcohol","Ethyl alcohol","ethyl alcohol"
lnhpd,"2 amino 2 deoxy d glucose sulfate","2 amino 2 deoxy d glucose sulfate",5,false,"2 amino 2 deoxy d glucose sulfate","2-amino-2-deoxy-D-glucose sulfate","2 amino 2 deoxy d glucose sulfate"
lnhpd,"citrus bioflavonoids","citrus bioflavonoids",5,false,"citrus bioflavonoids","Citrus Bioflavonoids","citrus bioflavonoids"
lnhpd,"4 beta d glucan 4 glucanohydrolase","4 beta d glucan 4 glucanohydrolase",5,false,"4 1 3 1 4 beta d glucan 4 glucanohydrolase","4-(1,3;1,4)-beta-D-Glucan 4-glucanohydrolase","4 beta d glucan 4 glucanohydrolase"
lnhpd,"silicon","silicon",5,false,"silicon","Silicon","silicon"
lnhpd,"natrium chloratum","natrium chloratum",5,true,"natrium chloratum","Natrium chloratum","natrium chloratum"
lnhpd,"inositol","inositol",5,false,"inositol","Inositol","inositol"
lnhpd,"natrum muriaticum","natrum muriaticum",4,true,"natrum muriaticum","Natrum muriaticum","natrum muriaticum"
lnhpd,"apis mellifica","apis mellifica",4,true,"apis mellifica","Apis mellifica","apis mellifica"
lnhpd,"phytolacca decandra","phytolacca decandra",4,true,"phytolacca decandra","Phytolacca decandra","phytolacca decandra"
lnhpd,"pinellia ternata","pinellia ternata",4,true,"pinellia ternata","Pinellia ternata","pinellia ternata"
lnhpd,"kali muriaticum","kali muriaticum",4,true,"kali muriaticum","Kali muriaticum","kali muriaticum"
lnhpd,"3 3 4 5 7 pentahydroxyflavone","3 3 4 5 7 pentahydroxyflavone",4,false,"3 3 4 5 7 pentahydroxyflavone","3,3',4',5,7-pentahydroxyflavone","3 3 4 5 7 pentahydroxyflavone"
lnhpd,"2 amino 2 deoxy beta d glucopyranose","2 amino 2 deoxy beta d glucopyranose",4,false,"2 amino 2 deoxy beta d glucopyranose","2-amino-2-deoxy-beta-D-glucopyranose" | "2-Amino-2-deoxy-beta-D-glucopyranose","2 amino 2 deoxy beta d glucopyranose"
lnhpd,"phellodendron chinense","phellodendron chinense",4,true,"phellodendron chinense","Phellodendron chinense","phellodendron chinense"
lnhpd,"paullinia cupana","paullinia cupana",4,true,"paullinia cupana","Paullinia cupana","paullinia cupana"
lnhpd,"poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose","poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose",4,false,"poly 1 3 n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 or 6 sulfonyl d galactose","Poly-(1->3)-N-aceltyl-2-amino-2-deoxy-3-O-beta-D-glucopyranurosyl-4-(or 6-)sulfonyl-D-galactose","poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose"
lnhpd,"triacylglycerol lipase","triacylglycerol lipase",4,true,"triacylglycerol lipase","Triacylglycerol lipase","triacylglycerol lipase"
lnhpd,"nickel","nickel",4,false,"nickel","Nickel","nickel"
lnhpd,"coenzyme q10","coenzyme q10",4,false,"coenzyme q10","Coenzyme Q10","coenzyme q10"
lnhpd,"belladonna","belladonna",4,false,"belladonna","Belladonna","belladonna"
lnhpd,"terminalia chebula","terminalia chebula",4,true,"terminalia chebula","Terminalia chebula","terminalia chebula"
lnhpd,"zincum metallicum","zincum metallicum",4,true,"zincum metallicum","Zincum metallicum","zincum metallicum"
lnhpd,"ferrum phosphoricum","ferrum phosphoricum",4,true,"ferrum phosphoricum","Ferrum phosphoricum","ferrum phosphoricum"
lnhpd,"paeonia lactiflora","paeonia lactiflora",4,true,"paeonia lactiflora","Paeonia lactiflora","paeonia lactiflora"
lnhpd,"menthol","menthol",4,false,"menthol","Menthol","menthol"
lnhpd,"whey protein isolate","whey protein isolate",4,false,"whey protein isolate","Whey Protein Isolate","whey protein isolate"
lnhpd,"4 aminobenzoic acid","4 aminobenzoic acid",4,true,"4 aminobenzoic acid","4-Aminobenzoic acid","4 aminobenzoic acid"
lnhpd,"seal oil","seal oil",4,true,"seal oil","Seal oil","seal oil"
lnhpd,"hamamelis virginiana","hamamelis virginiana",3,true,"hamamelis virginiana","Hamamelis virginiana","hamamelis virginiana"
lnhpd,"scrophularia nodosa","scrophularia nodosa",3,true,"scrophularia nodosa","Scrophularia nodosa","scrophularia nodosa"
lnhpd,"euterpe oleracea","euterpe oleracea",3,true,"euterpe oleracea","Euterpe oleracea","euterpe oleracea"
lnhpd,"serenoa repens","serenoa repens",3,true,"serenoa repens","Serenoa repens","serenoa repens"
lnhpd,"2 hydroxy n n n trimethylethanaminium","2 hydroxy n n n trimethylethanaminium",3,false,"2 hydroxy n n n trimethylethanaminium","2-Hydroxy-N,N,N-trimethylethanaminium","2 hydroxy n n n trimethylethanaminium"
lnhpd,"raphanus sativus","raphanus sativus",3,true,"raphanus sativus","Raphanus sativus","raphanus sativus"
lnhpd,"tanacetum parthenium","tanacetum parthenium",3,true,"tanacetum parthenium","Tanacetum parthenium","tanacetum parthenium"
lnhpd,"juniperus communis","juniperus communis",3,true,"juniperus communis","Juniperus communis","juniperus communis"
lnhpd,"linum usitatissimum","linum usitatissimum",3,true,"linum usitatissimum","Linum usitatissimum","linum usitatissimum"
lnhpd,"bryonia","bryonia",3,false,"bryonia","Bryonia","bryonia"
lnhpd,"nux vomica","nux vomica",3,true,"nux vomica","Nux vomica","nux vomica"
lnhpd,"ophiopogon japonicus","ophiopogon japonicus",3,true,"ophiopogon japonicus","Ophiopogon japonicus","ophiopogon japonicus"
