source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
lnhpd,"fish oil","fish oil",28,true,"fish oil","Fish oil","fish oil"
lnhpd,"vitis vinifera","vitis vinifera",14,true,"vitis vinifera","Vitis vinifera" | "Vitis Vinifera","vitis vinifera"
lnhpd,"oryctolagus cuniculus","oryctolagus cuniculus",14,true,"oryctolagus cuniculus","Oryctolagus cuniculus","oryctolagus cuniculus"
lnhpd,"inositol","inositol",13,false,"inositol","Inositol","inositol"
lnhpd,"linum usitatissimum","linum usitatissimum",10,true,"linum usitatissimum","Linum usitatissimum","linum usitatissimum"
lnhpd,"glycyrrhiza glabra","glycyrrhiza glabra",9,true,"glycyrrhiza glabra","Glycyrrhiza glabra","glycyrrhiza glabra"
lnhpd,"vanadium","vanadium",8,false,"vanadium","Vanadium","vanadium"
lnhpd,"glycyrrhiza uralensis","glycyrrhiza uralensis",8,true,"glycyrrhiza uralensis","Glycyrrhiza uralensis","glycyrrhiza uralensis"
lnhpd,"coenzyme q10","coenzyme q10",8,false,"coenzyme q10","Coenzyme Q10","coenzyme q10"
lnhpd,"hydrastis canadensis","hydrastis canadensis",8,true,"hydrastis canadensis","Hydrastis canadensis","hydrastis canadensis"
lnhpd,"arnica montana","arnica montana",7,true,"arnica montana","Arnica montana","arnica montana"
lnhpd,"phosphore","phosphore",7,false,"phosphore","Phosphore","phosphore"
lnhpd,"sus scrofa","sus scrofa",7,true,"sus scrofa","Sus scrofa","sus scrofa"
lnhpd,"salicylic acid","salicylic acid",7,true,"salicylic acid","Salicylic acid","salicylic acid"
lnhpd,"3 pyridinecarboxamide","3 pyridinecarboxamide",7,false,"3 pyridinecarboxamide","3-Pyridinecarboxamide","3 pyridinecarboxamide"
lnhpd,"citrus bioflavonoids","citrus bioflavonoids",7,true,"citrus bioflavonoids","Citrus Bioflavonoids" | "Citrus bioflavonoids","citrus bioflavonoids"
lnhpd,"medicago sativa","medicago sativa",6,true,"medicago sativa","Medicago sativa","medicago sativa"
lnhpd,"dioscorea oppositifolia","dioscorea oppositifolia",6,true,"dioscorea oppositifolia","Dioscorea oppositifolia","dioscorea oppositifolia"
lnhpd,"trifolium pratense","trifolium pratense",6,true,"trifolium pratense","Trifolium pratense","trifolium pratense"
lnhpd,"silicea","silicea",6,false,"silicea","Silicea","silicea"
lnhpd,"eucalyptus globulus","eucalyptus globulus",6,true,"eucalyptus globulus","Eucalyptus globulus","eucalyptus globulus"
lnhpd,"mentha x piperita","mentha x piperita",6,false,"mentha x piperita","Mentha x piperita","mentha x piperita"
lnhpd,"1 carboxy n n n trimethylmethanaminium chloride","1 carboxy n n n trimethylmethanaminium chloride",5,false,"1 carboxy n n n trimethylmethanaminium chloride","1-Carboxy-N,N,N-trimethylmethanaminium chloride","1 carboxy n n n trimethylmethanaminium chloride"
lnhpd,"serenoa repens","serenoa repens",5,true,"serenoa repens","Serenoa repens","serenoa repens"
lnhpd,"atractylodes macrocephala","atractylodes macrocephala",5,true,"atractylodes macrocephala","Atractylodes macrocephala","atractylodes macrocephala"
lnhpd,"sodium fluoride","sodium fluoride",5,true,"sodium fluoride","Sodium fluoride","sodium fluoride"
lnhpd,"2 amino 2 deoxy d glucose sulfate","2 amino 2 deoxy d glucose sulfate",5,false,"2 amino 2 deoxy d glucose sulfate","2-amino-2-deoxy-D-glucose sulfate","2 amino 2 deoxy d glucose sulfate"
lnhpd,"4 beta d glucan 4 glucanohydrolase","4 beta d glucan 4 glucanohydrolase",5,false,"4 1 3 1 4 beta d glucan 4 glucanohydrolase","4-(1,3;1,4)-beta-D-Glucan 4-glucanohydrolase","4 beta d glucan 4 glucanohydrolase"
lnhpd,"silicon","silicon",5,false,"silicon","Silicon","silicon"
lnhpd,"codonopsis pilosula","codonopsis pilosula",5,true,"codonopsis pilosula","Codonopsis pilosula","codonopsis pilosula"
lnhpd,"equisetum arvense","equisetum arvense",5,true,"equisetum arvense","Equisetum arvense","equisetum arvense"
lnhpd,"paeonia lactiflora","paeonia lactiflora",5,true,"paeonia lactiflora","Paeonia lactiflora","paeonia lactiflora"
lnhpd,"myo inositol","myo inositol",4,false,"myo inositol","Myo-Inositol","myo inositol"
lnhpd,"natrum muriaticum","natrum muriaticum",4,true,"natrum muriaticum","Natrum muriaticum","natrum muriaticum"
lnhpd,"apis mellifica","apis mellifica",4,true,"apis mellifica","Apis mellifica","apis mellifica"
lnhpd,"poria cocos","poria cocos",4,true,"poria cocos","Poria cocos","poria cocos"
lnhpd,"pinellia ternata","pinellia ternata",4,true,"pinellia ternata","Pinellia ternata","pinellia ternata"
lnhpd,"kali muriaticum","kali muriaticum",4,true,"kali muriaticum","Kali muriaticum","kali muriaticum"
lnhpd,"3 3 4 5 7 pentahydroxyflavone","3 3 4 5 7 pentahydroxyflavone",4,false,"3 3 4 5 7 pentahydroxyflavone","3,3',4',5,7-pentahydroxyflavone","3 3 4 5 7 pentahydroxyflavone"
lnhpd,"2 amino 2 deoxy beta d glucopyranose","2 amino 2 deoxy beta d glucopyranose",4,false,"2 amino 2 deoxy beta d glucopyranose","2-amino-2-deoxy-beta-D-glucopyranose" | "2-Amino-2-deoxy-beta-D-glucopyranose","2 amino 2 deoxy beta d glucopyranose"
lnhpd,"daucus carota","daucus carota",4,true,"daucus carota","Daucus carota","daucus carota"
lnhpd,"poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose","poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose",4,false,"poly 1 3 n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 or 6 sulfonyl d galactose","Poly-(1->3)-N-aceltyl-2-amino-2-deoxy-3-O-beta-D-glucopyranurosyl-4-(or 6-)sulfonyl-D-galactose","poly n aceltyl 2 amino 2 deoxy 3 o beta d glucopyranurosyl 4 sulfonyl d galactose"
lnhpd,"ethyl alcohol","ethyl alcohol",4,true,"ethyl alcohol","Ethyl alcohol","ethyl alcohol"
lnhpd,"ubiquinone","ubiquinone",4,false,"ubiquinone","Ubiquinone","ubiquinone"
lnhpd,"phosphorus","phosphorus",4,false,"phosphorus","Phosphorus","phosphorus"
lnhpd,"nickel","nickel",4,false,"nickel","Nickel","nickel"
lnhpd,"plantago major","plantago major",4,true,"plantago major","Plantago major","plantago major"
lnhpd,"rheum palmatum","rheum palmatum",4,true,"rheum palmatum","Rheum palmatum","rheum palmatum"
lnhpd,"arctium lappa","arctium lappa",4,true,"arctium lappa","Arctium lappa","arctium lappa"
lnhpd,"ferrum phosphoricum","ferrum phosphoricum",4,true,"ferrum phosphoricum","Ferrum phosphoricum","ferrum phosphoricum"
lnhpd,"rehmannia glutinosa","rehmannia glutinosa",4,true,"rehmannia glutinosa","Rehmannia glutinosa","rehmannia glutinosa"
lnhpd,"menthol","menthol",4,false,"menthol","Menthol","menthol"
lnhpd,"lecithin","lecithin",4,false,"lecithin","Lecithin","lecithin"
lnhpd,"whey protein isolate","whey protein isolate",4,false,"whey protein isolate","Whey Protein Isolate","whey protein isolate"
lnhpd,"natrium chloratum","natrium chloratum",4,true,"natrium chloratum","Natrium chloratum","natrium chloratum"
lnhpd,"4 aminobenzoic acid","4 aminobenzoic acid",4,true,"4 aminobenzoic acid","4-Aminobenzoic acid","4 aminobenzoic acid"
lnhpd,"hamamelis virginiana","hamamelis virginiana",3,true,"hamamelis virginiana","Hamamelis virginiana","hamamelis virginiana"
lnhpd,"scrophularia nodosa","scrophularia nodosa",3,true,"scrophularia nodosa","Scrophularia nodosa","scrophularia nodosa"
lnhpd,"phytolacca decandra","phytolacca decandra",3,true,"phytolacca decandra","Phytolacca decandra","phytolacca decandra"
lnhpd,"euterpe oleracea","euterpe oleracea",3,true,"euterpe oleracea","Euterpe oleracea","euterpe oleracea"
lnhpd,"olea europaea","olea europaea",3,true,"olea europaea","Olea europaea","olea europaea"
lnhpd,"ziziphus jujuba","ziziphus jujuba",3,true,"ziziphus jujuba","Ziziphus jujuba","ziziphus jujuba"
lnhpd,"2 hydroxy n n n trimethylethanaminium","2 hydroxy n n n trimethylethanaminium",3,false,"2 hydroxy n n n trimethylethanaminium","2-Hydroxy-N,N,N-trimethylethanaminium","2 hydroxy n n n trimethylethanaminium"
